File,Most Common Function Words,Function Word Proportion
20800a.cha,"[('det:art', 127), ('prep', 30), ('conj', 29), ('part', 19), ('qn', 1)]",0.10751565762004175
20800b.cha,"[('det:art', 68), ('conj', 38), ('prep', 36), ('part', 7), ('qn', 7)]",0.07862903225806452
20906a.cha,"[('det:art', 72), ('prep', 45), ('part', 26), ('conj', 21), ('qn', 2)]",0.09346846846846847
20906b.cha,"[('det:art', 39), ('prep', 18), ('part', 18), ('conj', 11), ('qn', 1)]",0.07816711590296496
20916a.cha,"[('det:art', 55), ('prep', 29), ('conj', 29), ('part', 19), ('qn', 1)]",0.10991735537190082
20916b.cha,"[('det:art', 56), ('prep', 35), ('conj', 19), ('part', 15), ('qn', 4)]",0.13870967741935483
20926a.cha,"[('prep', 26), ('det:art', 20), ('part', 13), ('conj', 11), ('qn', 1)]",0.06846673095467695
20926b.cha,"[('conj', 19), ('det:art', 12), ('prep', 10), ('part', 9)]",0.07911392405063292
20929a.cha,"[('part', 35), ('det:art', 28), ('prep', 21), ('conj', 20)]",0.0763582966226138
20929b.cha,"[('det:art', 80), ('prep', 62), ('conj', 20), ('part', 15)]",0.1059245960502693
21020a.cha,"[('det:art', 41), ('prep', 32), ('part', 24), ('conj', 19), ('qn', 3)]",0.0936270653029111
21020b.cha,"[('det:art', 58), ('part', 29), ('prep', 26), ('conj', 17), ('qn', 2)]",0.12324929971988796
30000a.cha,"[('det:art', 118), ('part', 53), ('conj', 48), ('prep', 29)]",0.18576779026217227
30000b.cha,"[('det:art', 72), ('prep', 34), ('part', 22), ('conj', 19)]",0.12478777589134125
30015a.cha,"[('det:art', 74), ('part', 41), ('conj', 26), ('prep', 15), ('qn', 3)]",0.1356655290102389
30015b.cha,"[('det:art', 78), ('part', 56), ('conj', 37), ('prep', 33), ('qn', 2)]",0.12923462986198245
