Folder,File,IPSyn Score
Adam,020304.cha,18
Adam,020318.cha,22
Adam,020403.cha,29
Adam,020415.cha,14
Adam,020430.cha,13
Adam,020512.cha,23
Adam,020603.cha,17
Adam,020617.cha,25
Adam,020701.cha,39
Adam,020714.cha,27
Adam,020801.cha,38
Adam,020816.cha,21
Adam,020904.cha,24
Adam,020918.cha,32
Adam,021002.cha,29
Adam,021016.cha,31
Adam,021030.cha,39
Adam,021113.cha,39
Adam,021128.cha,34
Adam,030011.cha,38
Adam,030025.cha,36
Adam,030109.cha,42
Adam,030126.cha,36
Adam,030209.cha,46
Adam,030221.cha,39
Adam,030304.cha,48
Adam,030318.cha,38
Adam,030401.cha,51
Adam,030418.cha,49
Adam,030501.cha,42
Adam,030515.cha,50
Adam,030529.cha,46
Adam,030609.cha,49
Adam,030707.cha,55
Adam,030801.cha,58
Adam,030814.cha,47
Adam,030826.cha,51
Adam,030916.cha,49
Adam,031015.cha,58
Adam,031101.cha,49
Adam,031114.cha,59
Adam,040014.cha,52
Adam,040115.cha,47
Adam,040217.cha,63
Adam,040309.cha,48
Adam,040401.cha,57
Adam,040413.cha,61
Adam,040511.cha,47
Adam,040624.cha,61
Adam,040701.cha,60
Adam,040729.cha,60
Adam,040902.cha,51
Adam,041002.cha,62
Adam,041023.cha,62
Adam,050212.cha,54
