Folder,File,IPSyn Score
Sarah,020307.cha,32
Sarah,020319.cha,38
Sarah,020328.cha,37
Sarah,020410.cha,37
Sarah,020412.cha,40
Sarah,020417.cha,36
Sarah,020419.cha,42
Sarah,020426.cha,34
Sarah,020507.cha,41
Sarah,020515.cha,31
Sarah,020530.cha,42
Sarah,020613.cha,52
Sarah,020620.cha,47
Sarah,020705.cha,49
Sarah,020712.cha,51
Sarah,020718.cha,40
Sarah,020728.cha,52
Sarah,020802.cha,45
Sarah,020825a.cha,46
Sarah,020825b.cha,50
Sarah,020900.cha,51
Sarah,020906.cha,51
Sarah,020914.cha,40
Sarah,020920.cha,59
Sarah,020929.cha,60
Sarah,021005.cha,59
Sarah,021011.cha,50
Sarah,021020.cha,63
Sarah,021024.cha,61
Sarah,021102.cha,59
Sarah,021117.cha,53
Sarah,021123.cha,65
Sarah,021130.cha,51
Sarah,030018a.cha,65
Sarah,030018b.cha,53
Sarah,030027.cha,60
Sarah,030103.cha,69
Sarah,030110.cha,68
Sarah,030117.cha,58
Sarah,030124.cha,65
Sarah,030202.cha,75
Sarah,030210.cha,71
Sarah,030216.cha,74
Sarah,030223.cha,73
Sarah,030307a.cha,60
Sarah,030307b.cha,70
Sarah,030313.cha,74
Sarah,030320.cha,69
Sarah,030328.cha,56
Sarah,030401.cha,59
Sarah,030409.cha,68
Sarah,030416.cha,71
Sarah,030426.cha,73
Sarah,030501.cha,71
Sarah,030507.cha,75
Sarah,030513.cha,71
Sarah,030520.cha,67
Sarah,030606.cha,74
Sarah,030616.cha,68
Sarah,030623.cha,78
Sarah,030630.cha,80
Sarah,030709.cha,75
Sarah,030716.cha,82
Sarah,030723.cha,87
Sarah,030730.cha,77
Sarah,030806.cha,83
Sarah,030812.cha,86
Sarah,030820.cha,84
Sarah,030827.cha,74
Sarah,030903.cha,71
Sarah,030926a.cha,81
Sarah,030926b.cha,76
Sarah,031001.cha,82
Sarah,031009.cha,81
Sarah,031016.cha,81
Sarah,031030.cha,75
Sarah,031116.cha,78
Sarah,040005.cha,83
Sarah,040014.cha,77
Sarah,040028.cha,77
Sarah,040104.cha,84
Sarah,040111.cha,77
Sarah,040118.cha,86
Sarah,040128.cha,84
Sarah,040201.cha,83
Sarah,040209.cha,81
Sarah,040216.cha,70
Sarah,040223.cha,87
Sarah,040228.cha,79
Sarah,040307.cha,85
Sarah,040313.cha,83
Sarah,040326.cha,85
Sarah,040401.cha,88
Sarah,040411.cha,82
Sarah,040418.cha,82
Sarah,040425.cha,79
Sarah,040504.cha,86
Sarah,040508.cha,86
Sarah,040514.cha,84
Sarah,040522.cha,90
Sarah,040529.cha,83
Sarah,040605.cha,80
Sarah,040610.cha,78
Sarah,040617.cha,85
Sarah,040624.cha,82
Sarah,040700.cha,97
Sarah,040711.cha,91
Sarah,040717.cha,85
Sarah,040724.cha,87
Sarah,040807.cha,82
Sarah,040813.cha,82
Sarah,040820.cha,98
Sarah,040904.cha,89
Sarah,040912.cha,88
Sarah,040919.cha,89
Sarah,040926.cha,86
Sarah,041006.cha,92
Sarah,041021.cha,88
Sarah,041027.cha,87
Sarah,041104.cha,93
Sarah,041113.cha,89
Sarah,041119.cha,79
Sarah,041126.cha,84
Sarah,050002.cha,80
Sarah,050010.cha,80
Sarah,050016.cha,83
Sarah,050025.cha,86
Sarah,050030.cha,82
Sarah,050106.cha,89
