Folder,File,IPSyn Score
Eve,010600a.cha,37
Eve,010600b.cha,31
Eve,010700a.cha,42
Eve,010700b.cha,38
Eve,010800.cha,40
Eve,010900a.cha,47
Eve,010900b.cha,39
Eve,010900c.cha,49
Eve,011000a.cha,56
Eve,011000b.cha,61
Eve,011100a.cha,56
Eve,011100b.cha,68
Eve,020000a.cha,67
Eve,020000b.cha,71
Eve,020100a.cha,73
Eve,020100b.cha,77
Eve,020200a.cha,71
Eve,020200b.cha,72
Eve,020300a.cha,89
Eve,020300b.cha,68
