File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
010600a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,89,143,1.607,0.713
010600b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,169,1.92,1.416
010700a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,211,2.221,1.058
010700b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,206,2.168,1.343
010800.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,229,2.436,1.135
010900a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,91,239,2.626,1.509
010900b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,91,266,2.923,1.234
010900c.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,271,2.883,1.479
011000a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,290,3.085,1.52
011000b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,95,307,3.232,1.372
011100a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,281,3.022,1.503
011100b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,96,370,3.854,1.974
020000a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,326,3.468,1.742
020000b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,93,302,3.247,1.859
020100a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,381,4.053,2.416
020100b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,353,3.755,2.439
020200a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,91,325,3.571,2.139
020200b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,94,324,3.447,1.717
020300a.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,88,383,4.352,2.1
020300b.ipcore-100.cex,.,.,*CHI:,.,.,.,.,.,.,.,.,81,251,3.099,2.248
